,Unnamed: 0,results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
15,15,9.96,-1.7,Asafa POWELL,82,JAM,F,2.0,"International Stadium, Gateshead (GBR)",10.07,1230
16,16,9.97,0.0,Usain BOLT,86,JAM,F,2.0,"Olympiastadion, Stockholm (SWE)",6.08,1217
17,17,10.0,1.4,Rae Monzavous EDWARDS,81,USA,F2,1.0,"Icahn Stadium, New York, NY (USA)",12.06,1206
18,18,10.0,-0.3,Daniel BAILEY,86,ANT,F,4.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1207
19,19,10.01,1.4,Keston BLEDMAN,88,TTO,F2,2.0,"Icahn Stadium, New York, NY (USA)",12.06,1203
20,20,10.02,-0.1,Tyson GAY,82,USA,H2,1.0,"Olympiastadion, Stockholm (SWE)",6.08,1199
21,21,10.02,-0.4,Tyson GAY,82,USA,H1,1.0,"Crystal Palace, London (GBR)",13.08,1201
22,22,10.05,1.2,Asafa POWELL,82,JAM,H2,1.0,"Bislett Stadion, Oslo (NOR)",4.06,1189
23,23,10.05,-0.4,Richard THOMPSON,85,TTO,F,3.0,"Crystal Palace, London (GBR)",13.08,1191
24,24,10.07,-0.4,Yohan BLAKE,89,JAM,H1,2.0,"Crystal Palace, London (GBR)",13.08,1184
25,25,10.08,1.7,Richard THOMPSON,85,TTO,H1,1.0,"Bislett Stadion, Oslo (NOR)",4.06,1179
26,26,10.08,1.7,Michael FRATER,82,JAM,H1,2.0,"Bislett Stadion, Oslo (NOR)",4.06,1179
27,27,10.08,-0.3,Walter DIX,86,USA,H2,1.0,"Crystal Palace, London (GBR)",13.08,1180
28,28,10.09,1.7,Jaysuma SAIDY NDURE,84,NOR,H1,3.0,"Bislett Stadion, Oslo (NOR)",4.06,1176
29,29,10.09,1.2,Trell KIMMONS,85,USA,H2,2.0,"Bislett Stadion, Oslo (NOR)",4.06,1176
30,30,10.09,1.2,Martial MBANDJOCK,85,FRA,H2,3.0,"Bislett Stadion, Oslo (NOR)",4.06,1176
31,31,10.09,0.6,Christophe LEMAITRE,90,FRA,F,2.0,"Stadio Olimpico, Roma (ITA)",10.06,1176
32,32,10.09,0.6,Martial MBANDJOCK,85,FRA,F,3.0,"Stadio Olimpico, Roma (ITA)",10.06,1176
33,33,10.09,-0.3,Christophe LEMAITRE,90,FRA,F,5.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1177
34,34,10.09,-0.3,Churandy MARTINA,84,AHO,F,6.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1177
35,35,10.09,0.1,Daniel BAILEY,86,ANT,F,4.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1176
36,36,10.1,1.2,Lerone CLARKE,81,JAM,H2,4.0,"Bislett Stadion, Oslo (NOR)",4.06,1172
37,37,10.1,-0.7,Usain BOLT,86,JAM,H1,1.0,"Olympiastadion, Stockholm (SWE)",6.08,1176
38,38,10.1,-0.7,Richard THOMPSON,85,TTO,H1,2.0,"Olympiastadion, Stockholm (SWE)",6.08,1176
39,39,10.1,0.0,Richard THOMPSON,85,TTO,F,3.0,"Olympiastadion, Stockholm (SWE)",6.08,1172
40,40,10.1,-0.4,J-Mee SAMUELS,87,USA,F,4.0,"Crystal Palace, London (GBR)",13.08,1174
41,41,10.11,1.7,Churandy MARTINA,84,AHO,H1,4.0,"Bislett Stadion, Oslo (NOR)",4.06,1169
42,42,10.11,1.4,Marc BURNS,83,TTO,F2,3.0,"Icahn Stadium, New York, NY (USA)",12.06,1169
43,43,10.11,-2.0,Asafa POWELL,82,JAM,H2,1.0,"International Stadium, Gateshead (GBR)",10.07,1181
44,44,10.11,-0.1,Trell KIMMONS,85,USA,H2,2.0,"Olympiastadion, Stockholm (SWE)",6.08,1169
45,45,10.11,0.0,Trell KIMMONS,85,USA,F,4.0,"Olympiastadion, Stockholm (SWE)",6.08,1169
46,46,10.11,0.1,Richard THOMPSON,85,TTO,F,5.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1169
47,47,10.12,-0.8,Michael RODGERS,85,USA,F2,2.0,"Letzigrund, Zürich (SUI)",19.08,1169
48,48,10.12,0.1,Mario FORSYTHE,85,JAM,F,6.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1165
49,49,10.14,-0.3,Trell KIMMONS,85,USA,F,7.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1160
50,50,10.14,-0.3,Richard THOMPSON,85,TTO,H2,2.0,"Crystal Palace, London (GBR)",13.08,1160
51,51,10.15,-1.6,Jaysuma SAIDY NDURE,84,NOR,H1,2.0,"International Stadium, Gateshead (GBR)",10.07,1164
52,52,10.15,-1.7,Daniel BAILEY,86,ANT,F,3.0,"International Stadium, Gateshead (GBR)",10.07,1165
53,53,10.16,0.5,Churandy MARTINA,84,AHO,F,3.0,"Stade Olympique de la Pontaise, Lausanne (SUI)",8.07,1152
54,54,10.16,-2.0,Daniel BAILEY,86,ANT,H2,2.0,"International Stadium, Gateshead (GBR)",10.07,1164
55,55,10.17,0.6,Jaysuma SAIDY NDURE,84,NOR,F,4.0,"Stadio Olimpico, Roma (ITA)",10.06,1148
56,56,10.17,-0.4,Michael RODGERS,85,USA,F,5.0,"Crystal Palace, London (GBR)",13.08,1150
57,57,10.18,1.2,Ryan MOSELEY,82,AUT,H2,5.0,"Bislett Stadion, Oslo (NOR)",4.06,1145
58,58,10.18,-1.7,Trell KIMMONS,85,USA,F,4.0,"International Stadium, Gateshead (GBR)",10.07,1155
59,59,10.19,0.6,Lerone CLARKE,81,JAM,F,5.0,"Stadio Olimpico, Roma (ITA)",10.06,1142
60,60,10.19,-0.8,Sam EFFAH,88,CAN,F2,3.0,"Letzigrund, Zürich (SUI)",19.08,1146
61,61,10.19,1.1,Marlon DEVONISH,76,GBR,H2,1.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1142
62,62,10.19,0.6,Marlon DEVONISH,76,GBR,F,1.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1142
63,63,10.2,-0.3,Martial MBANDJOCK,85,FRA,F,8.0,"Stade de France, Paris-St-Denis (FRA)",16.07,1139
64,64,10.2,0.0,Mario FORSYTHE,85,JAM,F,5.0,"Olympiastadion, Stockholm (SWE)",6.08,1138
65,65,10.2,0.1,Trell KIMMONS,85,USA,F,7.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1138
66,66,10.21,0.0,Michael RODGERS,85,USA,F,6.0,"Olympiastadion, Stockholm (SWE)",6.08,1135
67,67,10.21,-0.4,J-Mee SAMUELS,87,USA,H1,3.0,"Crystal Palace, London (GBR)",13.08,1137
68,68,10.21,0.1,Dexter LEE,91,JAM,F,8.0,"Boudewijnstadion, Bruxelles (BEL)",27.08,1135
